Song Name,Artist,Length,Danceability,Acousticness,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo
勇者,YOASOBI,194267,0.655,0.0351,0.907,1.37e-05,0.15,0.506,-3.868,0.0488,103.968
LAST STARDUST,Aimer,318667,0.473,0.0105,0.845,2.87e-05,0.13,0.223,-5.13,0.0455,121.963
カナリア,ReoNa,287040,0.659,0.894,0.212,0.0,0.0939,0.445,-9.282,0.0322,80.015
ヒカリ,Lilas Ikuta,244833,0.439,0.278,0.667,0.0,0.119,0.387,-4.563,0.03,79.635
Five,Hideyuki Fukasawa,241013,0.441,0.000324,0.772,0.857,0.119,0.35,-7.166,0.0479,129.946
glimmer,sajou no hana,194386,0.642,0.111,0.816,0.0,0.303,0.861,-5.482,0.0278,92.992
ライア,Zwei,335067,0.486,0.0101,0.822,8.27e-05,0.299,0.539,-6.401,0.0371,149.911
オンリー,大原ゆい子,230400,0.565,0.00188,0.812,2.68e-05,0.149,0.68,-4.613,0.0431,150.105
なにが悪い,結束バンド,227360,0.59,0.00361,0.906,0.0,0.294,0.663,-1.827,0.0357,122.053
JOINT,川田まみ,241507,0.489,0.00298,0.955,1.82e-06,0.284,0.664,-3.89,0.125,179.925
リナリア,まるりとりゅうが,230173,0.623,0.0648,0.683,1.74e-05,0.115,0.653,-4.91,0.034,131.985
あいつら全員同窓会,ZUTOMAYO,254507,0.724,0.453,0.913,0.0,0.052,0.913,-2.836,0.118,130.968
スカイクラッドの観測者,いとうかなこ,275640,0.444,0.00287,0.962,0.000414,0.135,0.303,-4.931,0.114,167.048
LAST GAME,Zwei,284240,0.415,0.205,0.621,0.0,0.181,0.327,-6.862,0.0333,151.942
シルシ,LiSA,288253,0.552,0.46,0.766,0.0,0.0941,0.472,-4.117,0.0536,145.991
SAKURA,Ikimonogakari,352493,0.465,0.164,0.502,0.0,0.364,0.445,-5.201,0.0299,150.37
Stuck on you,Nowlu,185608,0.696,0.714,0.698,4.62e-06,0.376,0.515,-7.098,0.0671,106.02
密談,KATE,150040,0.396,0.974,0.0495,0.908,0.114,0.053,-16.528,0.0613,169.683
メインテーマ/眠り,Hideyuki Fukasawa,181067,0.463,0.497,0.228,0.256,0.116,0.449,-16.443,0.0322,171.943
First star,Hideyuki Fukasawa,243307,0.391,0.000381,0.893,0.933,0.076,0.388,-8.374,0.0443,143.965
imbalance/blue,Hideyuki Fukasawa,265493,0.566,0.946,0.18,0.894,0.128,0.117,-17.018,0.0274,139.954
蒼崎青子,Hideyuki Fukasawa,308707,0.428,0.0449,0.761,0.936,0.0933,0.143,-9.777,0.0362,140.045
午後の眠り,Hideyuki Fukasawa,144853,0.813,0.994,0.028,0.963,0.0851,0.316,-22.96,0.072,65.998
imbalance/Alice,Hideyuki Fukasawa,239480,0.557,0.962,0.2,0.889,0.0784,0.146,-15.892,0.0312,117.967
Meant to Be,Chewie Melodies,213584,0.381,0.949,0.131,0.0,0.214,0.312,-17.486,0.0377,143.233
生命線,ReoNa,255547,0.44,0.0777,0.672,0.0,0.104,0.494,-6.158,0.0551,170.042
ウィアートル,Rionos,286533,0.511,0.937,0.0652,4.5e-05,0.107,0.185,-17.278,0.035,128.04
オレンジ,7!!,350107,0.4,0.194,0.563,0.0,0.162,0.311,-4.023,0.0319,172.027
魔法使いの夜~メインテーマ,Hideyuki Fukasawa,303880,0.232,0.206,0.348,0.791,0.141,0.083,-12.234,0.0366,188.112
ずるいよ…,CHIHIRO,359720,0.583,0.0528,0.774,0.0,0.13,0.465,-3.638,0.0539,159.921
歌に形はないけれど,+α/あるふぁきゅん。,329640,0.52,0.656,0.665,3.96e-06,0.233,0.301,-3.894,0.0273,98.004
Star Diamond,Starlight Kuku Gumi,289027,0.37,0.0512,0.904,6.84e-05,0.219,0.537,-3.028,0.0809,160.107
小さな恋のうた feat.七穂,kobasolo,283893,0.405,0.305,0.622,0.0,0.318,0.388,-4.945,0.03,185.827
sun will rise,(K)NoW_NAME,265000,0.617,0.611,0.223,0.000182,0.129,0.475,-11.353,0.0303,151.938
"Hello, shooting-star",moumoon,277640,0.531,0.309,0.573,0.0,0.282,0.283,-5.77,0.0263,80.029
Lemon,Kenshi Yonezu,256107,0.532,0.366,0.661,0.0,0.354,0.446,-4.924,0.0268,86.983
Shogeki,Yuko Ando,181595,0.399,0.124,0.723,0.0,0.352,0.22,-4.507,0.0681,137.032
命に嫌われている (feat. 宵崎奏&初音ミク),25時、ナイトコードで。,271920,0.671,0.0926,0.891,0.0,0.0706,0.654,-5.456,0.0388,100.019
炎,LiSA,275000,0.477,0.105,0.685,0.0,0.277,0.308,-4.554,0.0325,152.04
Is There Still Anything That Love Can Do? (English Version),RADWIMPS,405520,0.412,0.269,0.418,0.0,0.102,0.265,-6.142,0.034,141.341
remember,Uru,349413,0.478,0.315,0.5,0.000106,0.138,0.162,-6.742,0.0315,149.794
"Komm,susser Tod (Mー10 Director's Edit.Version)",Arianne,466481,0.562,0.0596,0.747,8.28e-06,0.113,0.708,-5.473,0.0274,151.654
夜に浮かぶ,Haruna,218855,0.617,0.417,0.475,1.02e-05,0.0819,0.644,-10.735,0.0423,179.957
奏(かなで),Sukima Switch,331187,0.511,0.586,0.734,2.57e-06,0.141,0.405,-4.701,0.0279,149.907
Bakamitai - Taxi Driver Edition,桐生一馬(黒田崇矢),291267,0.519,0.0507,0.567,0.455,0.378,0.284,-7.914,0.0259,73.988
未来,KOBUKURO,316000,0.456,0.817,0.412,0.0,0.286,0.308,-6.73,0.027,147.94
シルシ,LiSA,288253,0.552,0.46,0.766,0.0,0.0941,0.472,-4.117,0.0536,145.991
remember,Uru,350120,0.504,0.468,0.526,9.62e-05,0.179,0.168,-6.585,0.0339,75.02
未来,KOBUKURO,316000,0.456,0.817,0.412,0.0,0.286,0.308,-6.73,0.027,147.94
オレンジ-Acoustic Ver.-,7!!,339120,0.465,0.738,0.305,0.0,0.171,0.422,-6.085,0.0358,163.066
